Date,Open,High,Low,Close,Adj Close,Volume
2011-08-01,245.375000,247.824997,242.199997,243.975006,229.383041,610644
2011-08-02,244.850006,244.850006,240.024994,241.875000,227.408630,293676
2011-08-03,240.000000,243.250000,238.125000,241.100006,226.679993,279800
2011-08-04,243.175003,244.449997,237.524994,238.350006,224.094467,309200
2011-08-05,234.449997,238.949997,231.250000,236.625000,222.472641,628130
2011-08-08,233.500000,239.899994,228.750000,231.500000,217.654205,700784
2011-08-09,226.500000,236.925003,225.000000,233.125000,219.181976,593394
2011-08-10,233.125000,233.125000,233.125000,233.125000,219.181976,0
2011-08-11,239.949997,242.500000,237.925003,239.675003,225.340240,313668
2011-08-12,242.899994,243.000000,232.100006,234.125000,220.122177,493288
2011-08-16,239.899994,240.000000,227.500000,228.250000,214.598557,333566
2011-08-17,231.500000,236.425003,228.000000,233.399994,219.440536,883134
2011-08-18,233.399994,233.399994,233.399994,233.399994,219.440536,0
2011-08-19,229.000000,232.274994,225.250000,230.975006,217.160553,491980
2011-08-22,230.500000,232.175003,225.500000,226.350006,212.812164,457324
2011-08-23,229.500000,230.500000,222.725006,228.449997,214.786591,978358
2011-08-24,229.350006,230.649994,225.600006,226.649994,213.094238,572830
2011-08-25,228.500000,229.949997,220.199997,222.399994,209.098419,281120
2011-08-26,222.625000,225.175003,217.750000,219.350006,206.230850,367838
2011-08-29,221.500000,228.500000,221.500000,227.425003,213.822906,397038
2011-08-30,232.925003,237.449997,229.500000,236.100006,221.979034,734516
2011-09-02,240.149994,240.949997,233.975006,235.574997,221.485458,407352
2011-09-05,234.899994,236.875000,232.000000,234.375000,220.357208,675178
2011-09-06,234.449997,237.100006,230.149994,235.899994,221.790985,801892
2011-09-07,236.574997,245.000000,236.574997,243.975006,229.383041,577450
2011-09-08,244.000000,244.899994,240.000000,242.050003,227.573166,245082
2011-09-09,242.399994,242.750000,235.500000,236.375000,222.237625,220134
2011-09-12,234.500000,235.449997,231.500000,234.300003,220.286697,370762
2011-09-13,235.000000,237.500000,231.975006,233.324997,219.370010,278728
2011-09-14,233.000000,241.449997,230.500000,239.600006,225.269699,301012
2011-09-15,242.399994,244.000000,235.899994,242.250000,227.761200,389118
2011-09-16,244.000000,244.850006,238.500000,241.824997,227.361633,385458
2011-09-19,241.274994,243.524994,238.550003,242.399994,227.902252,265402
2011-09-20,242.500000,246.699997,241.750000,245.625000,230.934357,293626
2011-09-21,247.000000,248.699997,244.250000,246.699997,231.945053,225384
2011-09-22,244.000000,244.449997,233.500000,236.149994,222.026031,532772
2011-09-23,235.000000,235.000000,226.850006,228.824997,215.139130,844962
2011-09-26,231.000000,231.000000,219.399994,225.074997,211.613434,2340412
2011-09-27,229.000000,231.000000,227.050003,229.175003,215.468216,363902
2011-09-28,230.500000,231.000000,226.100006,228.600006,214.927612,3929146
2011-09-29,228.500000,237.500000,226.300003,235.324997,221.250397,518476
2011-09-30,234.750000,237.000000,232.199997,233.625000,219.652054,426794
2011-10-03,232.500000,232.500000,225.550003,229.225006,215.515259,270960
2011-10-04,227.449997,227.850006,221.000000,225.149994,211.683960,663930
2011-10-05,225.149994,227.500000,218.500000,219.175003,206.066315,483226
2011-10-07,227.500000,230.000000,223.375000,224.899994,211.448898,324920
2011-10-10,226.449997,228.750000,225.050003,227.274994,213.681854,562012
2011-10-11,229.000000,232.425003,227.550003,228.824997,215.139130,259434
2011-10-12,230.000000,234.824997,227.000000,233.574997,219.605057,349260
2011-10-13,234.949997,238.000000,233.899994,235.225006,221.156403,418956
2011-10-14,235.350006,238.300003,232.949997,237.074997,222.895706,219770
2011-10-17,237.774994,240.149994,236.050003,238.925003,224.635086,1402682
